,deck_id,title,quantity_x
260,738,Wyrm,2
261,738,Aesop's Pawnshop,1
262,738,Cyberfeeder,3
263,738,Grimoire,1
264,738,Stimhack,3
265,738,Parasite,3
266,738,Personal Workshop,2
267,738,Femme Fatale,1
268,738,Corroder,1
269,738,Wyldside,2
270,738,Liberated Account,3
271,738,Parasite,3
272,738,Grimoire,1
273,738,Clone Chip,2
274,738,Sure Gamble,3
275,738,Personal Workshop,2
276,738,Femme Fatale,1
277,738,Daily Casts,3
278,738,Medium,2
279,738,Aesop's Pawnshop,1
280,738,Déjà Vu,2
282,738,Ice Carver,1
283,738,Dirty Laundry,3
284,738,Wyldside,2
285,738,Datasucker,2
286,738,Stimhack,3
287,738,Imp,3
288,738,Corroder,1
289,738,Wyrm,2
290,738,Cyberfeeder,3
291,738,Djinn,2
292,728,Nerve Agent,2
293,728,Sure Gamble,3
295,728,Crypsis,2
296,728,Dirty Laundry,3
297,728,Déjà Vu,2
298,728,Medium,2
299,728,Easy Mark,3
300,728,Demolition Run,2
301,728,Djinn,2
302,728,Datasucker,2
303,728,Wyldside,1
304,728,Rook,3
305,728,Ice Carver,1
306,728,Wyrm,3
307,728,Mimic,2
308,728,Professional Contacts,1
309,728,Diesel,3
310,728,Cyberfeeder,3
311,728,Yog.0,3
312,728,Grimoire,1
313,728,Stimhack,2
314,728,Parasite,3
315,728,Infiltration,3
316,728,Personal Workshop,1
317,728,Corroder,2
318,728,Easy Mark,3
319,728,Nerve Agent,2
320,728,Infiltration,3
321,728,Parasite,3
322,728,Grimoire,1
323,728,Professional Contacts,1
324,728,Rook,3
325,728,Sure Gamble,3
326,728,Demolition Run,2
327,728,Personal Workshop,1
328,728,Medium,2
329,728,Déjà Vu,2
331,728,Ice Carver,1
332,728,Dirty Laundry,3
333,728,Wyldside,1
334,728,Datasucker,2
335,728,Diesel,3
336,728,Mimic,2
337,728,Stimhack,2
338,728,Corroder,2
339,728,Wyrm,3
340,728,Yog.0,3
341,728,Cyberfeeder,3
342,728,Djinn,2
343,728,Crypsis,2
344,736,Mimic,1
345,736,Nerve Agent,1
346,736,Sure Gamble,3
348,736,Crypsis,1
349,736,Imp,3
350,736,Daily Casts,3
351,736,Plascrete Carapace,2
352,736,Déjà Vu,3
353,736,Medium,3
354,736,Darwin,1
355,736,Djinn,3
356,736,Grimoire,2
357,736,Datasucker,3
358,736,Clone Chip,3
359,736,Stimhack,2
360,736,Parasite,3
361,736,Kati Jones,2
362,736,Sahasrara,3
363,736,Gorman Drip v1,3
364,736,Clone Chip,3
365,736,Déjà Vu,3
367,736,Gorman Drip v1,3
368,736,Imp,3
369,736,Parasite,3
370,736,Grimoire,2
371,736,Mimic,1
372,736,Stimhack,2
373,736,Darwin,1
374,736,Sure Gamble,3
375,736,Crypsis,1
376,736,Plascrete Carapace,2
377,736,Datasucker,3
378,736,Sahasrara,3
379,736,Nerve Agent,1
380,736,Kati Jones,2
381,736,Daily Casts,3
382,736,Djinn,3
383,736,Medium,3
384,770,Sure Gamble,3
386,770,Imp,1
387,770,Medium,1
388,770,Déjà Vu,2
389,770,Plascrete Carapace,2
390,770,Djinn,3
391,770,Daily Casts,3
392,770,Datasucker,3
393,770,Surge,3
394,770,Bishop,2
395,770,Clone Chip,3
396,770,Ice Carver,2
397,770,Wyrm,1
398,770,Mimic,1
399,770,Cyberfeeder,3
400,770,Yog.0,1
401,770,Armitage Codebusting,1
402,770,Grimoire,3
403,770,Self-modifying Code,3
404,770,Parasite,3
405,770,Corroder,1
406,770,Parasite,3
407,770,Grimoire,3
408,770,Plascrete Carapace,2
409,770,Clone Chip,3
410,770,Sure Gamble,3
411,770,Self-modifying Code,3
412,770,Daily Casts,3
413,770,Medium,1
414,770,Déjà Vu,2
416,770,Ice Carver,2
417,770,Surge,3
418,770,Imp,1
419,770,Datasucker,3
420,770,Mimic,1
421,770,Djinn,3
422,770,Bishop,2
423,770,Corroder,1
424,770,Wyrm,1
425,770,Yog.0,1
426,770,Cyberfeeder,3
427,770,Armitage Codebusting,1
428,820,Magnum Opus,3
429,820,Sure Gamble,3
431,820,Crypsis,2
432,820,Dyson Mem Chip,2
433,820,Joshua B.,2
434,820,Medium,1
435,820,Déjà Vu,3
436,820,Plascrete Carapace,3
437,820,Bishop,2
438,820,Djinn,2
439,820,Datasucker,2
440,820,Surge,3
441,820,Rook,2
442,820,The Personal Touch,2
443,820,Mimic,1
444,820,Diesel,2
445,820,Data Leak Reversal,2
446,820,Cyberfeeder,2
447,820,Yog.0,1
448,820,Dirty Laundry,2
449,820,Grimoire,1
450,820,Quality Time,1
451,820,Stimhack,2
452,820,Parasite,1
453,820,Corroder,1
454,820,Parasite,1
455,820,Grimoire,1
456,820,Plascrete Carapace,3
457,820,Data Leak Reversal,2
458,820,Rook,2
459,820,Magnum Opus,3
460,820,Sure Gamble,3
461,820,Quality Time,1
462,820,Crypsis,2
463,820,Déjà Vu,3
465,820,Surge,3
466,820,Dirty Laundry,2
467,820,Datasucker,2
468,820,Diesel,2
469,820,Mimic,1
470,820,Stimhack,2
471,820,Djinn,2
472,820,Bishop,2
473,820,Corroder,1
474,820,Medium,1
475,820,The Personal Touch,2
476,820,Yog.0,1
477,820,Dyson Mem Chip,2
478,820,Cyberfeeder,2
479,820,Joshua B.,2
480,949,Xanadu,1
481,949,Nerve Agent,1
482,949,Parasite,3
483,949,Kraken,2
484,949,Plascrete Carapace,1
485,949,Clone Chip,3
486,949,Sure Gamble,3
487,949,Self-modifying Code,2
488,949,Medium,2
489,949,Déjà Vu,3
491,949,Surge,2
492,949,Gorman Drip v1,3
493,949,Wyldside,2
494,949,Datasucker,3
495,949,Djinn,3
496,949,Imp,2
497,949,Wyrm,1
498,949,Kati Jones,3
499,949,Cyberfeeder,3
500,949,Grimoire,2
501,949,Crypsis,1
502,1002,R&D Interface,1
503,1002,Parasite,2
504,1002,Grimoire,2
505,1002,Plascrete Carapace,2
506,1002,Chakana,2
507,1002,Sure Gamble,3
508,1002,Daily Casts,3
509,1002,Crypsis,3
510,1002,The Source,2
511,1002,Déjà Vu,2
512,1002,Ice Carver,2
514,1002,Surge,3
515,1002,Imp,2
516,1002,Datasucker,3
517,1002,Dirty Laundry,3
518,1002,Mimic,1
519,1002,Corroder,1
520,1002,HQ Interface,1
521,1002,Kati Jones,2
522,1002,Djinn,2
523,1002,Gorman Drip v1,3
524,1110,Liberated Account,2
525,1110,Déjà Vu,3
526,1110,Surge,3
528,1110,Imp,2
529,1110,Parasite,3
530,1110,Grimoire,2
531,1110,Diesel,3
532,1110,Armitage Codebusting,3
533,1110,Sure Gamble,3
534,1110,Wyrm,2
535,1110,Self-modifying Code,3
536,1110,Datasucker,3
537,1110,Daily Casts,3
538,1110,Nerve Agent,2
539,1110,Cyberfeeder,3
540,1110,Djinn,3
541,1110,Medium,2
542,1127,John Masanori,2
543,1127,Levy AR Lab Access,2
544,1127,Déjà Vu,2
545,1127,Surge,2
547,1127,Imp,3
548,1127,Parasite,3
549,1127,Grimoire,2
550,1127,Data Dealer,2
551,1127,Plascrete Carapace,3
552,1127,Data Leak Reversal,3
553,1127,Scheherazade,2
554,1127,Sure Gamble,3
555,1127,Demolition Run,2
556,1127,Crypsis,2
557,1127,Datasucker,3
558,1127,Account Siphon,1
559,1127,Nerve Agent,1
560,1127,Cyberfeeder,3
561,1127,Djinn,3
562,1127,Medium,1
563,1129,Infiltration,3
564,1129,Parasite,3
565,1129,Grimoire,2
566,1129,Plascrete Carapace,1
567,1129,Clone Chip,2
568,1129,Djinn,2
569,1129,Demolition Run,2
570,1129,Same Old Thing,3
571,1129,Sahasrara,3
572,1129,Medium,2
573,1129,Aesop's Pawnshop,1
574,1129,Déjà Vu,3
576,1129,Surge,3
577,1129,Wyldside,2
578,1129,Datasucker,3
579,1129,Quality Time,1
580,1129,Imp,3
581,1129,Snitch,1
582,1129,Scheherazade,2
583,1129,Public Sympathy,1
584,1129,Armitage Codebusting,2
585,1136,Diesel,1
586,1136,Nerve Agent,2
587,1136,Parasite,3
588,1136,Grimoire,1
589,1136,Liberated Account,1
590,1136,Data Leak Reversal,2
591,1136,Darwin,3
592,1136,Mr. Li,2
593,1136,Sure Gamble,2
594,1136,Demolition Run,2
595,1136,Compromised Employee,2
596,1136,Retrieval Run,2
597,1136,Hostage,2
598,1136,Medium,2
599,1136,Déjà Vu,2
601,1136,Ice Carver,1
602,1136,Surge,2
603,1136,Imp,2
604,1136,Datasucker,2
605,1136,Morning Star,3
606,1136,Mimic,2
607,1136,Djinn,2
608,1136,The Maker's Eye,1
609,1136,Force of Nature,1
610,1136,Kati Jones,2
611,1136,Yog.0,1
612,1136,Dyson Mem Chip,3
613,1136,Cyberfeeder,2
614,1136,Armitage Codebusting,2
615,1158,Aesop's Pawnshop,2
616,1158,Déjà Vu,3
618,1158,Gorman Drip v1,3
619,1158,Imp,3
620,1158,Datasucker,3
621,1158,Levy AR Lab Access,1
622,1158,Chakana,1
623,1158,Quality Time,3
624,1158,Darwin,3
625,1158,Wyldside,3
626,1158,Liberated Account,1
627,1158,Medium,3
628,1158,Scheherazade,3
629,1158,Daily Casts,3
630,1158,Nerve Agent,3
631,1158,Public Sympathy,1
632,1158,Cyberfeeder,3
633,1158,Crypsis,3
634,1177,Clone Chip,1
635,1177,Aesop's Pawnshop,2
636,1177,Déjà Vu,2
638,1177,Wyldside,3
639,1177,Parasite,3
640,1177,Grimoire,3
641,1177,Plascrete Carapace,2
642,1177,Stimhack,3
643,1177,Imp,3
644,1177,Sure Gamble,3
645,1177,Wyrm,1
646,1177,Datasucker,3
647,1177,Personal Workshop,2
648,1177,Nerve Agent,1
649,1177,Kati Jones,2
650,1177,Daily Casts,3
651,1177,Djinn,2
652,1177,Medium,3
653,1177,Crypsis,3
654,1180,Easy Mark,3
655,1180,Special Order,2
656,1180,Ninja,2
657,1180,Infiltration,3
658,1180,Parasite,3
659,1180,Grimoire,1
660,1180,Cyberfeeder,3
661,1180,Sure Gamble,3
662,1180,Demolition Run,3
663,1180,Gordian Blade,1
664,1180,Medium,2
665,1180,Déjà Vu,2
667,1180,Ice Carver,1
668,1180,Wyldside,2
669,1180,Datasucker,2
670,1180,Stimhack,3
671,1180,Armitage Codebusting,3
672,1180,Corroder,2
673,1180,Wyrm,2
674,1180,Yog.0,2
675,1180,Akamatsu Mem Chip,1
676,1180,Djinn,2
677,1180,Crypsis,3
678,1193,Nerve Agent,1
679,1193,Parasite,3
680,1193,Grimoire,1
681,1193,Clone Chip,3
682,1193,Sure Gamble,3
683,1193,Demolition Run,2
684,1193,Personal Workshop,2
685,1193,Medium,1
686,1193,Déjà Vu,2
688,1193,Ice Carver,1
689,1193,Surge,2
690,1193,Imp,3
691,1193,Datasucker,3
692,1193,Mimic,2
693,1193,Djinn,2
694,1193,Wyldside,2
695,1193,Corroder,2
696,1193,Kati Jones,2
697,1193,Yog.0,2
698,1193,Cyberfeeder,3
699,1193,Armitage Codebusting,3
700,1270,Aesop's Pawnshop,3
701,1270,Nerve Agent,2
703,1270,Imp,3
704,1270,Parasite,3
705,1270,New Angeles City Hall,3
706,1270,Data Leak Reversal,3
707,1270,Joshua B.,3
708,1270,Wyldside,3
709,1270,Sure Gamble,3
710,1270,Levy AR Lab Access,1
711,1270,Medium,3
712,1270,Datasucker,3
713,1270,Sahasrara,3
714,1270,Daily Casts,3
715,1270,Djinn,3
716,1270,Crypsis,3
717,1288,Easy Mark,2
718,1288,Liberated Account,2
719,1288,Nerve Agent,2
720,1288,Parasite,3
721,1288,Grimoire,1
722,1288,Sure Gamble,3
723,1288,Demolition Run,2
724,1288,Scheherazade,3
725,1288,Daily Casts,3
726,1288,Medium,2
727,1288,Ice Carver,1
729,1288,Surge,3
730,1288,Imp,2
731,1288,Datasucker,2
732,1288,Diesel,3
733,1288,Mimic,2
734,1288,Bishop,3
735,1288,Corroder,2
736,1288,Yog.0,2
737,1288,Cyberfeeder,3
738,1288,Armitage Codebusting,3
739,1278,Aesop's Pawnshop,2
740,1278,Déjà Vu,2
742,1278,Wyldside,3
743,1278,Parasite,3
744,1278,Grimoire,3
745,1278,Levy AR Lab Access,1
746,1278,Plascrete Carapace,2
747,1278,Stimhack,2
748,1278,Imp,3
749,1278,Sure Gamble,3
750,1278,Crypsis,3
751,1278,Datasucker,3
752,1278,Personal Workshop,2
753,1278,Nerve Agent,2
754,1278,Kati Jones,2
755,1278,Daily Casts,3
756,1278,Djinn,3
757,1278,Medium,3
758,1443,Liberated Account,3
759,1443,Déjà Vu,2
761,1443,Ice Carver,2
762,1443,Surge,3
763,1443,Imp,1
764,1443,Parasite,3
765,1443,Grimoire,3
766,1443,Mimic,1
767,1443,Clone Chip,3
768,1443,Armitage Codebusting,3
769,1443,Bishop,2
770,1443,Corroder,1
771,1443,Sure Gamble,3
772,1443,Crypsis,1
773,1443,Plascrete Carapace,3
774,1443,Datasucker,3
775,1443,Yog.0,1
776,1443,Self-modifying Code,3
777,1443,Djinn,3
778,1443,Medium,1
779,1469,Darwin,2
780,1469,Déjà Vu,3
781,1469,Surge,3
783,1469,Parasite,3
784,1469,Grimoire,3
785,1469,Mimic,2
786,1469,Emergency Shutdown,3
787,1469,Armitage Codebusting,3
788,1469,Crescentus,3
789,1469,Sure Gamble,3
790,1469,e3 Feedback Implants,3
791,1469,Wyrm,1
792,1469,Plascrete Carapace,2
793,1469,Datasucker,2
794,1469,Nerve Agent,2
795,1469,Kati Jones,2
796,1469,Djinn,3
797,1469,Medium,2
798,1521,Keyhole,3
799,1521,Liberated Account,3
800,1521,Déjà Vu,3
801,1521,Surge,3
803,1521,Imp,3
804,1521,Parasite,3
805,1521,Grimoire,2
806,1521,Daily Casts,3
807,1521,Deep Thought,1
808,1521,Chakana,1
809,1521,Stimhack,2
810,1521,Darwin,3
811,1521,Wyldside,2
812,1521,Self-modifying Code,3
813,1521,Datasucker,3
814,1521,Kati Jones,2
815,1521,Cyberfeeder,3
816,1521,Djinn,3
817,1522,Keyhole,3
818,1522,Liberated Account,3
819,1522,Déjà Vu,3
820,1522,Surge,3
822,1522,Deep Thought,1
823,1522,Imp,3
824,1522,Parasite,3
825,1522,Grimoire,2
826,1522,Daily Casts,3
827,1522,Plascrete Carapace,2
828,1522,Chakana,1
829,1522,Stimhack,2
830,1522,Darwin,3
831,1522,Wyldside,2
832,1522,Self-modifying Code,3
833,1522,Datasucker,3
834,1522,Kati Jones,2
835,1522,Cyberfeeder,3
836,1522,Djinn,3
837,1510,Aesop's Pawnshop,2
838,1510,Déjà Vu,3
840,1510,Ice Carver,2
841,1510,Dirty Laundry,3
842,1510,Wyldside,2
843,1510,Parasite,3
844,1510,Grimoire,2
845,1510,Daily Casts,3
846,1510,Mimic,1
847,1510,Clone Chip,3
848,1510,Keyhole,2
849,1510,Sure Gamble,3
850,1510,Plascrete Carapace,2
851,1510,Datasucker,3
852,1510,Sahasrara,2
853,1510,Kati Jones,2
854,1510,Cyberfeeder,3
855,1510,Djinn,3
856,1510,Crypsis,2
857,1582,Surge,3
858,1582,Déjà Vu,3
860,1582,Sacrificial Construct,3
861,1582,Infiltration,3
862,1582,Inside Job,2
863,1582,Parasite,3
864,1582,Kraken,2
865,1582,Daily Casts,3
866,1582,Imp,2
867,1582,Darwin,1
868,1582,Wyldside,3
869,1582,Keyhole,2
870,1582,Datasucker,3
871,1582,Nerve Agent,2
872,1582,Desperado,2
873,1582,Cyberfeeder,3
874,1582,Medium,2
875,1582,Scheherazade,3
876,1608,Keyhole,2
877,1608,Aesop's Pawnshop,2
878,1608,Déjà Vu,3
880,1608,Gorman Drip v1,3
881,1608,Wyldside,3
882,1608,Parasite,3
883,1608,Grimoire,3
884,1608,Plascrete Carapace,2
885,1608,Stimhack,3
886,1608,Darwin,1
887,1608,Imp,3
888,1608,Sure Gamble,3
889,1608,Crypsis,2
890,1608,Datasucker,3
891,1608,Personal Workshop,2
892,1608,Nerve Agent,1
893,1608,Djinn,3
894,1608,Medium,3
895,1690,Easy Mark,2
896,1690,Special Order,2
897,1690,Liberated Account,2
898,1690,Nerve Agent,2
899,1690,Parasite,3
900,1690,Grimoire,2
901,1690,Sure Gamble,3
902,1690,Demolition Run,2
903,1690,Scheherazade,2
904,1690,Medium,2
905,1690,Forged Activation Orders,2
906,1690,Ice Carver,2
908,1690,Surge,3
909,1690,Imp,3
910,1690,Datasucker,3
911,1690,Diesel,2
912,1690,Mimic,2
913,1690,Bishop,2
914,1690,Corroder,2
915,1690,Yog.0,2
916,1690,Cyberfeeder,2
917,1690,Armitage Codebusting,2
918,1718,Knight,3
919,1718,John Masanori,3
920,1718,Déjà Vu,3
922,1718,Dirty Laundry,3
923,1718,Imp,2
924,1718,Parasite,3
925,1718,Same Old Thing,3
926,1718,Plascrete Carapace,2
927,1718,Data Leak Reversal,1
928,1718,Joshua B.,3
929,1718,Darwin,1
930,1718,Sahasrara,3
931,1718,Sure Gamble,3
932,1718,Keyhole,2
933,1718,Datasucker,3
934,1718,Account Siphon,2
935,1718,Djinn,3
936,1718,Medium,1
937,1718,Gorman Drip v1,1
938,1712,Keyhole,1
939,1712,Aesop's Pawnshop,2
940,1712,Déjà Vu,3
942,1712,Gorman Drip v1,2
943,1712,Imp,3
944,1712,Grimoire,2
945,1712,Levy AR Lab Access,1
946,1712,Plascrete Carapace,2
947,1712,Darwin,2
948,1712,Wyldside,3
949,1712,Sure Gamble,3
950,1712,Wyrm,1
951,1712,Scheherazade,3
952,1712,Sahasrara,3
953,1712,Nerve Agent,3
954,1712,Daily Casts,3
955,1712,Djinn,3
956,1712,Medium,3
957,1712,Crypsis,2
958,1769,Keyhole,1
959,1769,Aesop's Pawnshop,2
960,1769,Déjà Vu,3
962,1769,Ice Carver,3
963,1769,Surge,3
964,1769,Wyldside,3
965,1769,Parasite,3
966,1769,Grimoire,3
967,1769,The Personal Touch,3
968,1769,Darwin,3
969,1769,Liberated Account,3
970,1769,e3 Feedback Implants,2
971,1769,Datasucker,3
972,1769,Daily Casts,3
973,1769,Kati Jones,2
974,1769,Cyberfeeder,3
975,1769,Medium,2
976,1863,Same Old Thing,3
977,1863,Déjà Vu,3
979,1863,Ice Carver,1
980,1863,Modded,1
981,1863,Wyldside,1
982,1863,Parasite,3
983,1863,Grimoire,2
984,1863,Infiltration,3
985,1863,Plascrete Carapace,2
986,1863,Clone Chip,3
987,1863,Imp,3
988,1863,Demolition Run,3
989,1863,Datasucker,3
990,1863,Sahasrara,2
991,1863,Cyberfeeder,3
992,1863,Djinn,3
993,1863,Medium,3
994,1863,Gorman Drip v1,3
995,1889,Keyhole,2
996,1889,John Masanori,3
997,1889,Déjà Vu,3
999,1889,Gorman Drip v1,1
1000,1889,Imp,1
1001,1889,Parasite,3
1002,1889,Grimoire,2
1003,1889,Mimic,2
1004,1889,Data Leak Reversal,3
1005,1889,Knight,3
1006,1889,Corroder,2
1007,1889,Magnum Opus,3
1008,1889,Sure Gamble,3
1009,1889,Crypsis,1
1010,1889,Plascrete Carapace,2
1011,1889,Datasucker,3
1012,1889,Account Siphon,2
1013,1889,Nerve Agent,2
1014,1889,Djinn,3
1015,1889,Medium,1
1016,1923,Liberated Account,2
1017,1923,Déjà Vu,3
1019,1923,Dirty Laundry,3
1020,1923,Imp,2
1021,1923,Parasite,3
1022,1923,Grimoire,3
1023,1923,Plascrete Carapace,2
1024,1923,Clone Chip,2
1025,1923,Quality Time,3
1026,1923,Knight,3
1027,1923,Sure Gamble,3
1028,1923,Demolition Run,1
1029,1923,Medium,1
1030,1923,Datasucker,3
1031,1923,Account Siphon,2
1032,1923,Nerve Agent,1
1033,1923,Daily Casts,3
1034,1923,Djinn,3
1035,1923,Crypsis,2
1036,1964,Easy Mark,3
1037,1964,Retrieval Run,1
1038,1964,Infiltration,3
1039,1964,Parasite,2
1040,1964,Grimoire,1
1041,1964,Data Leak Reversal,1
1042,1964,Darwin,3
1043,1964,Sure Gamble,3
1044,1964,Crypsis,2
1045,1964,Déjà Vu,2
1047,1964,Surge,3
1048,1964,Imp,2
1049,1964,Datasucker,2
1050,1964,Pheromones,2
1051,1964,Stimhack,3
1052,1964,Djinn,2
1053,1964,Faerie,1
1054,1964,Medium,2
1055,1964,Kati Jones,3
1056,1964,Account Siphon,1
1057,1964,Cyberfeeder,3
1058,1964,Armitage Codebusting,2
1059,1939,Ninja,2
1060,1939,Liberated Account,3
1061,1939,Nerve Agent,2
1062,1939,Parasite,3
1063,1939,Grimoire,1
1064,1939,Plascrete Carapace,2
1065,1939,Sure Gamble,3
1066,1939,Demolition Run,3
1067,1939,Satellite Uplink,2
1068,1939,Crypsis,3
1069,1939,Déjà Vu,3
1071,1939,Corroder,2
1072,1939,Wyldside,1
1073,1939,Datasucker,3
1074,1939,Morning Star,1
1075,1939,Stimhack,2
1076,1939,Imp,3
1077,1939,Medium,2
1078,1939,Yog.0,2
1079,1939,e3 Feedback Implants,2
1080,1939,Public Sympathy,2
1081,1939,Cyberfeeder,2
1082,1939,Armitage Codebusting,2
1083,1985,Déjà Vu,3
1084,1985,Surge,2
1086,1985,Infiltration,3
1087,1985,Imp,2
1088,1985,Parasite,3
1089,1985,Grimoire,2
